,Name,mfg_num,lrv,rgb,category,hexcode
881,Spring Reflection,MQ6-13,LRV 48,"['R 161', 'G 191', 'B 171']",Blue color family,background-color:#A1BFAB;
882,Northern Glen,MQ6-14,LRV 11,"['R 83', 'G 98', 'B 85']",,background-color:#536255;
883,Less Traveled,MQ6-15,LRV 13,"['R 93', 'G 105', 'B 87']",Green color family,background-color:#5D6957;
884,Gazebo Green,MQ6-16,LRV 21,"['R 118', 'G 130', 'B 108']",Green color family,background-color:#76826C;
885,Green Trellis,MQ6-17,LRV 37,"['R 153', 'G 167', 'B 152']",Green color family,background-color:#99A798;
886,Recycled Glass,MQ6-18,LRV 52,"['R 183', 'G 195', 'B 183']",Green color family,background-color:#B7C3B7;
887,Coastal Storm,MQ6-20,LRV 21,"['R 125', 'G 128', 'B 123']",Gray color family,background-color:#7D807B;
888,Hunter's Hollow,MQ6-21,LRV 32,"['R 152', 'G 154', 'B 141']",,background-color:#989A8D;
889,Gateway Gray,MQ6-22,LRV 35,"['R 160', 'G 160', 'B 156']",Gray color family,background-color:#A0A09C;
890,Pumice,MQ6-23,LRV 50,"['R 191', 'G 188', 'B 179']",Gray color family,background-color:#BFBCB3;
891,Windgate Hill,MQ6-24,LRV 10,"['R 91', 'G 88', 'B 76']",Gray color family,background-color:#5B584C;
892,Pavement Gray,MQ6-25,LRV 26,"['R 144', 'G 140', 'B 126']",,background-color:#908C7E;
893,Milk Thistle,MQ6-26,LRV 33,"['R 158', 'G 155', 'B 136']",Gray color family,background-color:#9E9B88;
894,Sage Wisdom,MQ6-27,LRV 41,"['R 175', 'G 173', 'B 150']",,background-color:#AFAD96;
895,Crushed Oregano,MQ6-28,LRV 11,"['R 99', 'G 93', 'B 70']",,background-color:#635D46;
896,Lost Canyon,MQ6-29,LRV 27,"['R 153', 'G 142', 'B 122']",,background-color:#998E7A;
897,Bamboo Shoot,MQ6-30,LRV 46,"['R 189', 'G 181', 'B 147']",,background-color:#BDB593;
898,Shoreline Haze,MQ6-31,LRV 60,"['R 210', 'G 203', 'B 188']",Neutral color family,background-color:#D2CBBC;
899,Cosmic Blue,MQ6-32,LRV 50,"['R 147', 'G 195', 'B 203']",Blue color family,background-color:#93C3CB;
901,Prophetic Sea,MQ6-34,LRV 23,"['R 64', 'G 142', 'B 153']",Blue color family,background-color:#408E99;
902,Teal Motif,MQ6-35,LRV 12,"['R 0', 'G 109', 'B 115']",Blue color family,background-color:#006D73;
903,Cascade Green,MQ6-36,LRV 50,"['R 161', 'G 194', 'B 185']",,background-color:#A1C2B9;
904,Patina,MQ6-38,LRV 33,"['R 120', 'G 166', 'B 150']",,background-color:#78A696;
905,Chelsea Garden,MQ6-39,LRV 14,"['R 84', 'G 109', 'B 102']",Blue color family,background-color:#546D66;
906,Country Weekend,MQ6-40,LRV 45,"['R 136', 'G 192', 'B 150']",Green color family,background-color:#88C096;
907,Farmer's Market,MQ6-41,LRV 40,"['R 113', 'G 184', 'B 151']",Blue color family,background-color:#71B897;
908,Dancing Jewel,MQ6-42,LRV 26,"['R 66', 'G 155', 'B 119']",,background-color:#429B77;
909,Dark Jade,MQ6-43,LRV 21,"['R 92', 'G 135', 'B 116']",Blue color family,background-color:#5C8774;
910,Black Evergreen,MQ6-44,LRV 8,"['R 69', 'G 82', 'B 79']",Gray color family,background-color:#45524F;
911,Composed,MQ6-45,LRV 55,"['R 187', 'G 200', 'B 178']",Green color family,background-color:#BBC8B2;
912,Flora Green,MQ6-46,LRV 38,"['R 145', 'G 173', 'B 138']",,background-color:#91AD8A;
914,Hummingbird Green,MQ6-48,LRV 15,"['R 91', 'G 114', 'B 74']",,background-color:#5B724A;
915,Chard,MQ6-49,LRV 8,"['R 72', 'G 85', 'B 63']",Green color family,background-color:#48553F;
916,Desert Hotsprings,MQ6-50,LRV 56,"['R 196', 'G 200', 'B 170']",Green color family,background-color:#C4C8AA;
917,Fern Leaf,MQ6-51,LRV 36,"['R 153', 'G 167', 'B 135']",Green color family,background-color:#99A787;
918,Lucky Clover,MQ6-52,LRV 23,"['R 119', 'G 140', 'B 86']",,background-color:#778C56;
919,Herb Cornucopia,MQ6-53,LRV 16,"['R 110', 'G 115', 'B 87']",Green color family,background-color:#6E7357;
920,River Forest,MQ6-54,LRV 10,"['R 84', 'G 91', 'B 69']",Green color family,background-color:#545B45;
921,Pale Ivy,MQ6-55,LRV 62,"['R 212', 'G 207', 'B 178']",Green color family,background-color:#D4CFB2;
922,Bermuda Grass,MQ6-57,LRV 34,"['R 161', 'G 159', 'B 121']",,background-color:#A19F79;
923,Fig Tree,MQ6-58,LRV 11,"['R 96', 'G 95', 'B 75']",,background-color:#605F4B;
924,Still Moment,MQ6-59,LRV 55,"['R 203', 'G 196', 'B 178']",Neutral color family,background-color:#CBC4B2;
925,Everglade,MQ6-60,LRV 43,"['R 189', 'G 176', 'B 120']",Green color family,background-color:#BDB078;
926,Basil Chiffonade,MQ6-61,LRV 21,"['R 130', 'G 130', 'B 73']",Green color family,background-color:#828249;
927,Coconut Grove,MQ6-62,LRV 14,"['R 103', 'G 109', 'B 67']",Green color family,background-color:#676D43;
928,Enigma,N100-1,LRV 73,"['R 223', 'G 221', 'B 223']",Purple color family,background-color:#DFDDDF;
929,Etude Lilac,N100-2,LRV 65,"['R 213', 'G 210', 'B 215']",,background-color:#D5D2D7;
930,Fortune,N100-4,LRV 32,"['R 159', 'G 151', 'B 163']",,background-color:#9F97A3;
931,Plush Velvet,N100-5,LRV 18,"['R 126', 'G 115', 'B 125']",,background-color:#7E737D;
932,Aubergine,N100-7,LRV 8,"['R 88', 'G 75', 'B 77']",,background-color:#584B4D;
933,Dusty Lilac,N110-1,LRV 60,"['R 211', 'G 202', 'B 205']",Neutral color family,background-color:#D3CACD;
934,Mulberry Stain,N110-2,LRV 51,"['R 198', 'G 186', 'B 190']",,background-color:#C6BABE;
935,Fig Preserves,N110-3,LRV 33,"['R 167', 'G 152', 'B 158']",Neutral color family,background-color:#A7989E;
936,Dignified Purple,N110-6,LRV 13,"['R 113', 'G 98', 'B 100']",Neutral color family,background-color:#716264;
937,Black Garnet,N110-7,LRV 6,"['R 78', 'G 68', 'B 68']",Gray color family,background-color:#4E4444;
938,Parasol,N120-1,LRV 76,"['R 233', 'G 223', 'B 222']",Neutral color family,background-color:#E9DFDE;
939,Razzberry Fizz,N120-2,LRV 68,"['R 225', 'G 213', 'B 212']",Neutral color family,background-color:#E1D5D4;
940,Mauve It,N120-3,LRV 52,"['R 205', 'G 187', 'B 188']",Neutral color family,background-color:#CDBBBC;
941,Roaring Twenties,N120-4,LRV 36,"['R 179', 'G 156', 'B 158']",Neutral color family,background-color:#B39C9E;
942,Plumville,N120-5,LRV 21,"['R 145', 'G 119', 'B 120']",Neutral color family,background-color:#917778;
