,Name,mfg_num,lrv,rgb,category,hexcode
71,Wind Chill,BL-W07,LRV 81,"['R 228', 'G 234', 'B 227']",White color family,background-color:#E4EAE3;
72,Tinsmith,BL-W11,LRV 74,"['R 220', 'G 224', 'B 220']",,background-color:#DCE0DC;
73,Canyon Wind,BL-W12,LRV 78,"['R 227', 'G 229', 'B 223']",White color family,background-color:#E3E5DF;
74,Silver Polish,BL-W13,LRV 76,"['R 226', 'G 226', 'B 222']",White color family,background-color:#E2E2DE;
75,Black,BLACK,LRV 5,"['R 63', 'G 63', 'B 62']",,background-color:#3F3F3E;
76,Pebble Cream,BWC-08,LRV 77,"['R 243', 'G 225', 'B 202']",Yellow color family,background-color:#F3E1CA;
77,Atlantis Pearl,BWC-09,LRV 81,"['R 241', 'G 232', 'B 210']",,background-color:#F1E8D2;
78,Rock Salt,BWC-10,LRV 79,"['R 234', 'G 230', 'B 215']",White color family,background-color:#EAE6D7;
79,Smoky White,BWC-13,LRV 78,"['R 233', 'G 228', 'B 218']",Yellow color family,background-color:#E9E4DA;
80,Predictable,BWC-15,LRV 72,"['R 229', 'G 219', 'B 203']",White color family,background-color:#E5DBCB;
81,Ancient Ivory,BWC-16,LRV 80,"['R 241', 'G 230', 'B 209']",,background-color:#F1E6D1;
82,Shark Tooth,BWC-17,LRV 75,"['R 228', 'G 225', 'B 211']",,background-color:#E4E1D3;
83,Spring White,BWC-18,LRV 82,"['R 235', 'G 236', 'B 220']",Green color family,background-color:#EBECDC;
84,Poetic Light,BWC-21,LRV 74,"['R 226', 'G 222', 'B 216']",Yellow color family,background-color:#E2DED8;
85,Lambskin,BWC-22,LRV 73,"['R 235', 'G 220', 'B 202']",Yellow color family,background-color:#EBDCCA;
86,Vanilla Frost,BWC-23,LRV 82,"['R 243', 'G 232', 'B 215']",Yellow color family,background-color:#F3E8D7;
87,Mocha Light,BWC-24,LRV 63,"['R 215', 'G 207', 'B 194']",Neutral color family,background-color:#D7CFC2;
88,Sandy Clay,BWC-25,LRV 64,"['R 219', 'G 208', 'B 189']",Yellow color family,background-color:#DBD0BD;
89,Stucco Tan,BWC-26,LRV 64,"['R 221', 'G 209', 'B 186']",Yellow color family,background-color:#DDD1BA;
